src_port,dst_port,protocol,packet_size,packet_rate,byte_rate,flow_duration,total_packets,total_bytes,tcp_flags_syn,tcp_flags_ack,tcp_flags_fin,tcp_flags_rst,entropy,conn_state,src_bytes,dst_bytes,wrong_fragment,urgent,label
58741,1337,6,231.05297051536803,2.02398752617553,338.68286450564506,18.23743252054554,14,5019,0,1,0,0,6.726139803779772,1,1927,2922,0.0,0.0,3
54962,582,6,90.30318146546307,37.13240844208652,3183.0052160438527,0.10613513479359196,2,201,1,0,0,1,4.6541405826351285,3,117,62,0.0,0.0,2
62308,4443,6,103.64022813707705,1.4732321943159183,476.24019850556647,7.7430152613003,30,5068,0,1,0,0,5.578165988772157,1,1937,2993,0.0,0.0,3
55928,22,6,454.11947945392956,12.51450202457068,7091.793430991738,54.834302865529445,46,49894,1,1,0,0,3.9503538595209977,2,25005,24574,0.0,0.0,0
58736,1433,6,741.180174202139,14.717475169256264,29134.621809053675,11.082355767866193,52,49947,1,1,1,0,4.924404517202803,1,29887,20090,0.0,0.0,5
59099,283,6,60.89263939924165,121.5931051845063,6815.955089837121,0.3379460053553664,3,188,1,0,0,1,4.535150663594163,3,84,54,0.0,0.0,2
50154,979,6,58.590042354725206,118.53673019687943,2408.902376796821,1.7728032113000012,1,193,1,0,0,0,5.031780936908718,2,110,46,0.0,0.0,2
61505,21,6,166.2611360958262,37.197487893721956,7106.423220150043,11.450780127062782,33,4897,0,1,1,1,2.9861622033305153,2,2005,991,0.0,0.0,4
61267,443,6,312.30641795883025,7.758098904730589,1949.3618195330887,79.09595225902808,52,50256,0,1,0,0,3.0128547195866853,3,25065,25184,0.0,0.0,0
52287,443,6,961.407615580602,38.99078806373559,29399.873133191344,18.6137706688352,56,49840,0,1,1,0,6.050708455520739,1,30174,19898,0.0,0.0,5
64230,445,6,116.05344999758162,74.9001809762339,7481.090613532704,0.7234189277691916,23,5167,1,1,0,0,3.16074228292503,2,2038,1006,0.0,0.0,4
53810,22,6,768.2623839400269,15.155314569940266,1787.2459887816394,52.282238950431825,50,50119,0,1,0,0,3.8694116417251827,2,24858,24998,0.0,0.0,0
57168,80,6,69.7647845417713,149.70977408460868,10337.514568277964,1.34024702329965,965,99980,1,0,0,0,1.2348723909440573,3,4971,526,0.0,0.0,1
64685,8080,6,258.9409486591029,2.82100585993255,614.8480996764825,39.312116687382726,23,5044,0,1,0,0,6.455852408632705,1,2040,2931,0.0,0.0,3
63904,80,6,700.6294307392307,19.050628534111873,19437.126541881367,18.803335558607152,45,50156,1,1,0,0,5.333150397455341,1,29778,19963,0.0,0.0,5
6031,443,17,41.566089929629385,410.44357658265886,142736.91048022083,1.7932914680944236,1049,100172,1,0,0,1,1.9239895068076158,3,5061,483,0.0,0.0,1
49754,368,6,59.73994742002123,64.26337461968416,6211.563971301132,0.29510729087938475,5,221,1,0,0,1,4.488810916318925,3,101,43,0.0,0.0,2
62098,443,17,449.4628623998072,4.054943588099827,3940.1244610750214,128.5095998900819,62,49911,0,1,1,0,3.784092001670199,1,25240,24954,0.0,0.0,0
59874,3306,6,547.6771199073398,29.795004457734343,15839.848105266523,1.0,51,49794,0,1,1,0,6.072914701462188,1,29997,19975,0.0,0.0,5
49277,1433,6,1270.1536456615916,24.365109171727312,17537.959016691082,2.085404940870432,49,50190,0,1,1,0,6.155691306528723,1,30211,20057,0.0,0.0,5
64987,80,17,576.7227907633542,4.496103585816575,6318.761172373903,42.30807350458906,53,49921,0,0,0,0,3.329345076895076,2,24900,24924,0.0,0.0,0
60343,3389,17,385.79905607208536,5.898280877346521,5899.311813251701,5.831999744316599,45,49790,0,1,0,0,4.602093083943111,2,25066,24929,0.0,0.0,0
58314,53,6,80.58130640331547,150.81816667077825,10353.833709066446,1.0872038724386166,1030,100040,1,0,0,0,2.114334834809327,3,4917,501,0.0,0.0,1
58765,445,6,168.91091728580395,48.70453335877855,5506.521911014403,14.94710389546726,31,4993,1,1,1,0,3.078725763418866,2,1968,945,0.0,0.0,4
55415,572,6,49.308857749044606,75.52782484409391,5464.7685178300435,1.3875037039850406,4,169,1,0,0,1,4.1430597582317015,2,90,42,0.0,0.0,2
60564,3306,6,1095.7797470892256,5.0,16027.814460313279,2.3180939582199893,41,49962,1,1,0,0,5.403000703122895,1,30112,20069,0.0,0.0,5
57079,443,6,784.2098624698162,20.605339772409312,26252.696654621806,24.792237120631896,53,49947,0,1,0,0,4.9947786910659255,1,29798,20054,0.0,0.0,5
49396,921,6,64.10330086545594,109.56721875361559,7749.539980257849,1.3576781306490036,1,201,1,0,0,1,4.408269895158867,2,103,49,0.0,0.0,2
63029,8080,17,324.73626640516375,18.40546157465244,4617.90462010594,1.0,44,49711,1,1,0,0,4.097988231241851,1,24691,24883,0.0,0.0,0
62567,406,6,60.31973986605315,81.05170017620247,9181.432393712315,0.301495863325079,4,199,1,0,0,1,4.84586013430813,2,92,57,0.0,0.0,2
60770,760,6,56.41373334957345,96.59893917240613,5136.37707228757,0.16457677151257916,1,215,1,0,0,1,4.531465909159151,2,108,62,0.0,0.0,2
64535,1337,6,213.70278780650574,3.405606024457332,1004.1566745789012,19.67649249432748,26,5026,0,1,0,0,6.171133600395814,1,2007,3047,0.0,0.0,3
7811,53,6,41.510035335433756,881.8955295204726,49475.26359095491,0.1,927,99676,1,0,0,0,1.7986214475979059,3,5018,515,0.0,0.0,1
57780,80,6,769.7631991736638,15.067688787558684,18818.48745516368,1.0,47,49978,0,1,1,0,5.1765482633134114,1,30162,19930,0.0,0.0,5
49850,3389,6,419.34209960537595,1.0,5423.634157948956,147.58849397377895,35,49869,0,1,0,0,3.987856268991333,2,24985,24905,0.0,0.0,0
8357,80,17,62.30256407061244,1196.3136444098159,30743.938718011243,2.420725700717639,999,99966,1,0,0,0,2.57644938608833,3,4904,566,0.0,0.0,1
63348,445,6,176.1721724027444,88.68604332675422,4470.846920604166,1.0197949124768677,17,5029,1,1,1,1,3.4838222288525036,2,2027,963,0.0,0.0,4
52083,3389,17,426.095676635554,5.783696978531287,1694.1626043222323,47.149174071002115,36,50311,1,1,0,0,3.4933335764817692,1,24842,24696,0.0,0.0,0
57316,22,17,446.1627736637222,15.83274295488503,5213.574386948347,57.005074671128746,58,50041,0,1,1,0,3.569416041358907,1,25216,24898,0.0,0.0,0
62015,921,6,68.10194606124347,120.35067129716899,4977.614730458092,0.11563303714540954,2,219,1,0,0,1,4.717421345454355,2,101,56,0.0,0.0,2
54286,3389,17,425.93532628054066,10.443233486990062,4908.0599841657095,107.32477645157505,55,49958,0,1,1,0,3.5965040951660234,3,25096,25105,0.0,0.0,0
60232,22,17,368.24623484372864,6.595563589804591,4065.793186418448,90.94742949309163,54,49757,0,0,0,0,3.4527908689319764,3,24895,24988,0.0,0.0,0
51407,8080,6,362.49130973208173,8.42367577879227,8204.50645121382,67.7951782912834,50,49964,1,0,0,0,2.6658275559456373,2,24899,24893,0.0,0.0,0
7345,80,6,57.50027793963348,338.5546584452037,54976.06451647925,5.099719664881563,975,99767,0,0,0,0,1.8795055877656763,2,5087,525,0.0,0.0,1
64114,8443,6,206.22475477153182,1.9843657005441615,426.5758013026063,41.00969062482932,30,5007,1,1,0,0,6.614318635007794,1,1999,2963,0.0,0.0,3
60107,31337,6,250.27066501157435,1.217875921011581,581.5315204207634,47.43827844207725,16,5055,1,1,1,0,6.876836836654259,1,1935,3033,0.0,0.0,3
60736,3389,6,167.38436499671755,34.15693987254336,11237.54374231284,0.5631976831937792,36,5087,1,1,1,1,3.155058420570553,2,2056,1003,0.0,0.0,4
63575,443,17,763.153301656432,14.01450809072843,7751.732346367913,113.04910210524753,43,50074,0,1,0,0,3.913853999117133,2,24544,25073,0.0,0.0,0
63499,3306,6,685.7123447578783,5.0,20915.365403870237,1.6080202664866472,47,50050,0,1,0,0,4.735161750390652,1,30005,20145,0.0,0.0,5
63677,1337,6,291.2781842579048,2.0115255761018562,631.5522407889343,23.05163583781354,21,5017,1,1,0,0,7.117518763125186,1,2009,2969,0.0,0.0,3
54348,74,6,63.331649059478465,87.81043979692468,10243.449111187922,0.12376105431361274,4,207,1,0,0,1,4.565472793458198,3,92,41,0.0,0.0,2
52228,22,6,144.20573169575786,31.4203588235941,10912.401185354483,1.0324501054801667,35,4890,0,0,0,0,2.314627458066594,3,2077,1016,0.0,0.0,4
56560,22,17,202.12138807013878,3.360409641563634,4290.025431773424,58.25946030829567,53,50169,0,1,0,0,2.3156543965739207,1,25159,25203,0.0,0.0,0
55126,3389,6,143.97243991287218,48.738847032167925,7997.939235469926,6.89839971637155,28,5041,0,1,0,0,3.2848221560965403,2,1893,945,0.0,0.0,4
63776,80,6,568.7237179070435,7.464460529336958,1605.8052300274962,230.45325733515693,40,49898,0,1,0,0,3.136450229912018,3,25094,24899,0.0,0.0,0
51370,80,6,1224.834897751717,19.594516462121764,29345.252292775098,1.0,48,50155,0,1,0,0,5.292304696847762,1,30120,20042,0.0,0.0,5
65196,162,6,65.231576184117,93.62259280027816,4633.3413323445375,0.549024260447154,4,213,1,0,0,1,5.180285758006297,3,96,40,0.0,0.0,2
63707,443,17,67.87232989533973,276.9836567705894,64367.69785882748,2.8599284267056566,1036,99649,1,0,0,0,2.423480329631903,2,4948,527,0.0,0.0,1
49425,3306,6,632.3300990948728,23.775810865214343,14503.477485634867,1.9481703911236408,48,50464,1,1,0,0,5.446610218443713,1,29844,20041,0.0,0.0,5
51557,663,6,45.94663480837703,102.71265936538086,4443.576279215389,0.33480826160472843,1,229,1,0,0,1,4.824586182230049,3,106,49,0.0,0.0,2
17469,53,17,96.33532149627415,137.0945372582624,24249.787584737063,7.785802896381844,1008,100264,1,0,0,0,1.3713828485518134,2,4957,489,0.0,1.0,1
5016,443,17,81.77913725734334,1335.6928401748778,28370.23351879633,0.2922446104905953,1028,99961,1,1,0,1,1.8750397724401466,3,5164,506,0.0,0.0,1
28099,443,17,67.7899561382664,100.0,21306.386539992982,1.1813159459322544,941,99873,1,1,0,0,2.4454814818761608,2,5040,476,0.0,0.0,1
62123,3389,6,293.85649943969537,19.05687514332491,4729.491349212615,6.716648709445628,41,50049,0,0,0,0,3.1385573994619174,1,24664,24796,0.0,0.0,0
52157,3389,6,340.3121905165893,13.506865324196113,4407.465112982237,180.29748675214557,63,50125,0,1,1,0,4.151170372426881,2,25172,24831,0.0,0.0,0
58612,653,6,52.94590533179264,135.26013138876033,4393.969121766442,1.73612636407967,5,209,1,0,0,1,4.813245397184494,3,84,48,0.0,0.0,2
59133,424,6,62.767964393450264,89.20934991400405,10860.6068270626,0.23878023329185583,3,208,1,0,0,1,4.215140907206263,3,90,57,0.0,0.0,2
54183,784,6,64.00611340037091,131.07402493509764,11439.824285334904,0.5627946154239386,3,203,1,0,0,1,3.675052538125122,2,102,46,0.0,0.0,2
63924,31337,6,160.54556622440566,2.5067396927075554,620.255036225951,33.84237214475642,21,5008,0,1,0,0,5.947271042624161,1,1993,3074,0.0,0.0,3
13668,80,17,68.53141927368816,100.0,59649.011156243716,0.9603890874634732,1002,99717,1,0,0,0,1.6114274874113172,3,4982,526,1.0,0.0,1
51861,8080,6,231.76582855359393,1.3590860516058059,501.79694492395583,26.722911700868977,21,4963,0,1,0,0,5.400330862126712,1,1999,3022,0.0,0.0,3
54041,8080,6,1075.2661599408361,21.137310955330083,18271.518932752006,5.370953348531906,47,49671,0,1,1,0,5.231632071028716,1,29902,20178,0.0,0.0,5
57804,3306,6,795.4604890877206,15.847072908619612,22190.048963581998,5.129389345883798,56,50296,0,1,0,0,6.08128427626551,1,29892,19948,0.0,0.0,5
58205,4443,6,230.99170194390467,2.2920379770000774,441.96489212041865,16.770450577195234,16,5028,0,1,1,0,5.3473604566368325,1,2082,2954,0.0,0.0,3
56025,443,17,291.50302515457224,12.842205031280773,3211.3347538231606,204.39460913416494,49,49681,0,1,0,0,2.7791774267445932,1,25173,25350,0.0,0.0,0
47086,53,17,83.47956323627454,235.9224891279386,28750.078724620344,0.40371476904588294,968,100194,1,0,0,1,1.6980410520568978,2,4879,532,0.0,0.0,1
56416,445,6,149.08281646972517,40.74237736937302,7694.43561916424,1.4545325236916795,24,4972,1,1,0,0,3.1393094309309504,3,2040,1000,0.0,0.0,4
51898,8080,6,963.5997203704362,19.565293848988,18767.622056779655,1.2273715436562258,56,49994,0,1,1,0,5.640260431890675,1,30060,20070,0.0,0.0,5
60842,3389,6,131.68255208563616,80.6188143319507,7152.458399939106,2.7747249844146116,27,5050,0,1,0,0,4.1405287118196075,3,2022,950,0.0,0.0,4
55598,21,6,92.62167470434596,86.46278264049874,8518.965525642698,1.4353816660276735,20,4950,0,1,1,0,3.0713515379309926,2,1890,992,0.0,0.0,4
50510,4443,6,226.63532021760372,3.895367654099805,293.72643975042257,36.59340964957789,29,4971,1,1,0,0,6.9493626215593185,1,2068,2999,0.0,0.0,3
61478,8080,6,207.28080693825885,2.1534383043691374,714.5093023889298,19.114508450286003,17,5119,1,1,0,0,6.480193271653508,1,2016,2949,0.0,0.0,3
7844,53,6,72.22056245234884,235.70859686070202,35775.02502046297,0.8149060267398832,1027,99551,1,0,0,0,1.7688035006623326,3,4824,501,1.0,0.0,1
63911,8080,6,177.10183858210186,2.9690360331758243,441.50393297631774,29.827332537110667,17,4928,1,1,1,1,6.916423854654479,1,1879,2996,0.0,0.0,3
62240,445,6,127.44546941135789,34.44374423678393,5610.783781680412,3.4511866159971993,27,5034,0,0,1,0,2.432909495100139,2,2077,1027,0.0,0.0,4
58839,3389,6,611.0753633613816,2.3285068680777075,7352.350210479839,71.16707480005255,42,49743,0,1,0,0,2.8284373661777296,1,25022,24962,0.0,0.0,0
54599,80,6,723.8340916078303,14.507791772294734,32239.82189467643,12.10392442643827,53,49965,1,1,0,0,6.071426871124871,1,29950,19772,0.0,0.0,5
53777,388,6,76.54687933217951,107.52959105742222,6472.006062560796,0.07765998565300786,5,207,1,0,0,0,4.538008746608675,3,103,49,0.0,0.0,2
57366,21,6,109.79633994216942,49.395436810816065,7330.783748879137,4.179697654279839,32,5041,0,0,0,0,2.753016449584678,1,1991,969,0.0,0.0,4
60485,8080,6,1178.0076992056688,19.799995609096523,18368.970048052415,6.326756332316047,49,49697,0,1,0,0,5.618264429427742,1,29970,19860,0.0,0.0,5
57156,22,17,936.5014048354174,5.569787728341632,5046.277446196335,161.92507159178302,55,49533,0,1,0,0,3.9111160910196707,1,24836,25143,0.0,0.0,0
54784,152,6,54.425843490429465,83.73488340920551,9901.633017389748,1.055454498149268,3,205,1,0,0,0,4.484177670843877,3,101,53,0.0,0.0,2
49194,3389,6,122.5498064703423,24.079015207872622,13482.418929581023,4.91798470859616,30,5173,0,0,0,0,3.0948831298995847,2,1978,1026,0.0,0.0,4
64527,553,6,58.39131242668203,71.30466063651099,6875.997182863707,0.14497351720877497,1,200,1,0,0,1,4.43107548651959,3,89,57,0.0,0.0,2
57499,1337,6,138.42956085803488,0.7595774825357482,637.7967093363122,36.42363181371173,20,4888,1,1,0,0,7.427735108714633,1,1954,3157,0.0,0.0,3
63324,80,17,493.82247288568396,6.763796810059768,6076.123440363618,26.242552476065626,52,49803,0,1,0,0,2.682653240622802,3,25087,25173,0.0,0.0,0
60176,443,6,934.0156925227593,15.047710498795361,18808.855312500113,15.058468065461152,40,50124,0,1,1,0,5.281701384611053,1,29860,19751,0.0,0.0,5
64267,3389,6,124.98041200623192,41.851238497276725,14278.554076556895,15.506500156576536,26,5031,1,0,0,0,3.3422854462369673,2,1991,1004,0.0,0.0,4
63335,443,17,64.0,1.0,8171.292985771466,204.739034184185,52,50362,0,1,1,0,4.527427309906583,2,24877,25169,0.0,0.0,0
62655,1337,6,231.22644550343276,2.6076205485586206,176.1015295365615,21.250189446515883,15,5075,0,1,1,1,6.301478529209863,1,1993,2994,0.0,0.0,3
55898,23,6,130.18686618263743,60.47826642110215,9171.538906665533,1.2379657775212818,34,5135,1,0,1,0,2.786520581785816,1,1973,1024,0.0,0.0,4
51899,22,6,64.0,6.443506876197311,4227.046565496052,14.973316133431508,52,49556,0,1,0,0,3.767271806728095,2,24897,24955,0.0,0.0,0
16218,443,17,75.56596046020537,100.0,31206.28660403563,1.1314474029031953,1014,100184,0,0,0,0,1.6763234627436665,3,4993,479,0.0,0.0,1
55387,8080,6,202.7931567446762,0.79731043079761,205.57805873453879,22.57810218976035,31,4907,0,1,1,0,5.4295343210566305,1,2012,2996,0.0,0.0,3
60395,847,6,56.68331578762595,112.2643112238891,4753.4574670996935,0.5112221247910652,2,226,1,0,0,0,4.090306396315744,3,110,54,0.0,0.0,2
58252,53,17,88.14732255827322,100.0,10000.0,2.34853754092075,1001,100062,1,1,0,1,1.5610101277618207,3,4978,481,0.0,1.0,1
52798,8080,6,212.54004078230264,2.3649673802584514,422.5226250500491,40.1550026725665,21,5037,0,1,0,0,7.086494388614069,1,2017,3048,0.0,0.0,3
60616,3389,6,650.6651520754483,11.308314863482394,5378.184987678104,52.6889826823849,50,50282,1,1,0,0,3.7532103874985157,1,25277,25326,0.0,0.0,0
50173,3389,17,526.7695308492,4.34273489673785,5214.084764157427,44.352746456032385,57,49520,0,1,1,0,3.2734085121852208,2,24733,25120,0.0,0.0,0
61151,8080,6,197.1385886986897,1.3409609787232863,1018.6510292166598,32.77782526504387,17,5011,0,1,1,0,6.494243447102715,1,2019,2910,0.0,0.0,3
59013,80,6,1045.7879959542506,27.200783869326848,20927.31773084541,10.994955396769978,48,50001,0,1,0,1,5.491300987706848,1,29987,20015,0.0,0.0,5
19534,53,17,81.94012865378134,100.0,129435.04847369292,4.1157545966766484,963,99482,1,0,0,0,2.3335636818340095,2,4921,519,0.0,0.0,1
57077,443,6,783.8219592923292,39.3170471231542,22386.070735012745,2.700904629948948,58,49835,0,1,0,1,5.45623746392595,1,29875,19965,0.0,0.0,5
57137,22,6,158.45460258049752,62.589964481617514,14763.746297617274,0.9024569882207227,32,5134,1,0,0,1,3.268107560746141,3,2027,1028,0.0,0.0,4
49758,3389,6,312.5543902332355,7.946456704487916,6144.185556809843,27.96387811762537,57,49643,0,1,0,0,4.039215372099355,3,24931,24871,0.0,0.0,0
51999,22,6,184.5130955920842,46.670511556845476,8258.733847643723,15.641990124532887,21,5025,0,1,0,0,3.0740105926593473,1,1991,977,0.0,0.0,4
56422,3389,6,429.8636944242425,12.359806666233045,1963.1021120705195,61.40169314768117,53,49857,0,0,0,0,3.478235266747667,1,25002,24878,0.0,0.0,0
49354,22,6,384.10734518598593,15.579510266826807,4690.150796327447,55.99579594169504,58,49805,0,1,0,0,3.986682976242807,3,24947,24765,0.0,0.0,0
51545,730,6,52.422600842554424,126.64833074965914,6319.948980504018,0.21806566832744226,4,210,1,0,0,1,4.606621550908244,3,112,46,0.0,0.0,2
61824,8443,6,201.54877632845148,2.4397855131384425,789.7690062362318,34.35688465529501,16,4925,0,1,1,0,6.1433522792272015,1,1956,3107,0.0,0.0,3
60120,8080,6,860.0507608360701,22.16264224745847,20456.83327973594,1.9926628192415576,64,49570,0,1,0,0,5.051216704941256,1,30020,20143,0.0,0.0,5
52368,876,6,70.04522174790948,54.58306703732524,5235.361309382071,0.10087689270162895,3,203,1,0,0,1,4.262593027395164,3,95,70,0.0,0.0,2
7758,80,17,83.92890327720002,489.8619256316092,83863.83820887959,0.6129599332435618,976,100027,1,0,0,1,2.2359233931818037,3,5044,459,0.0,0.0,1
49196,1337,6,188.42680837405234,2.4635583208295637,241.1769050557334,20.182579667332,16,5094,0,1,0,0,6.247517775729252,1,1977,3000,0.0,0.0,3
59091,309,6,57.1615960931881,139.19156696260077,5555.054715340649,0.33908170488026,1,199,1,0,0,0,4.680583328341998,3,119,48,0.0,0.0,2
54302,3389,6,106.85086378004688,49.400680857157745,14520.953101915231,0.5,29,5109,1,0,0,0,3.42516777649022,2,2045,1038,0.0,0.0,4
65456,1337,6,171.90510848972187,1.9550599238968842,784.633506035583,33.574795908080546,26,4981,0,1,1,0,7.089070537979571,1,2050,2967,0.0,0.0,3
58608,80,17,59.67112801411054,779.535122256985,35227.16785874867,0.6267217544077183,1001,99931,1,0,0,0,2.20139581094438,3,4935,519,0.0,0.0,1
7890,443,6,66.83326049478552,695.3102404531534,60328.732567684885,0.1,982,99838,1,1,0,0,1.7041033616445238,3,4906,491,0.0,0.0,1
35768,80,17,66.50718111235783,100.0,21391.37038804368,2.2781030080596114,1036,99658,1,0,0,0,2.66409335735088,2,4922,537,0.0,0.0,1
