feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,label
3.0149953,1.6614497,2.6074054,1.5230298,-0.23415338,-0.23413695,1.5792128,0.7674347,-0.46947438,0.54256004,-0.46341768,-0.46572974,0.24196227,-1.9132802,-1.7249179,-0.5622875,-1.0128311,0.31424734,-0.9080241,-1.4123037,1
3.98393,1.5739377,2.027245,-1.4247482,-0.54438275,0.11092259,-1.1509936,0.37569803,-0.6006387,-0.29169375,-0.6017066,1.8522782,-0.013497225,-1.0577109,0.82254493,-1.2208437,0.2088636,-1.9596701,-1.328186,0.19686124,1
3.2567477,1.9710822,1.8440686,-0.30110368,-1.478522,-0.7198442,-0.46063876,1.0571222,0.3436183,-1.7630402,0.32408398,-0.38508227,-0.676922,0.6116763,1.0309995,0.93128014,-0.83921754,-0.3092124,0.33126342,0.9755451,1
-0.48804155,0.3054071,-0.8655988,-1.1962066,0.8125258,1.35624,-0.07201012,1.0035329,0.361636,-0.6451197,0.3613956,1.5380366,-0.03582604,1.5646436,-2.619745,0.8219025,0.08704707,-0.29900736,0.09176078,-1.9875689,0
2.2986093,2.1568265,3.437611,-0.5182702,-0.8084936,-0.501757,0.9154021,0.32875112,-0.5297602,0.51326746,0.09707755,0.968645,-0.70205307,-0.32766214,-0.39210814,-1.4635149,0.2961203,0.26105526,0.005113457,-0.23458713,1
-1.4242381,0.07042077,-0.10197841,-0.80227727,-0.16128571,0.40405086,1.8861859,0.17457782,0.2575504,-0.07444592,-1.9187713,-0.026513875,0.06023021,2.463242,-0.19236097,0.30154735,-0.03471177,-1.168678,1.1428229,0.75193304,0
3.3093133,0.8903265,3.3625112,-1.401851,0.5868571,2.1904557,-0.99053633,-0.5662977,0.09965137,-0.50347567,-1.5506635,0.06856298,-1.0623037,0.47359243,-0.91942424,1.5499344,-0.7832533,-0.3220615,0.8135172,-1.2308643,1
2.7457411,3.1068568,0.35223365,0.18463387,0.2598828,0.78182286,-1.2369508,-1.3204566,0.52194154,0.29698467,0.25049284,0.3464482,-0.68002474,0.2322537,0.29307246,-0.7143514,1.8657745,0.47383294,-1.1913035,0.6565536,1
1.5435996,2.5867987,3.1183124,-0.82068235,0.9633761,0.41278094,0.82206017,1.896793,-0.24538812,-0.75373614,-0.88951445,-0.81581026,-0.07710171,0.34115198,0.2766908,0.82718325,0.013001892,1.4535341,-0.26465684,2.720169,1
3.1439486,0.94255644,0.88882446,0.48247242,-0.22346279,0.7140005,0.47323763,-0.07282891,-0.8467937,-1.5148473,-0.44651496,0.8563988,0.21409374,-1.2457387,0.17318092,0.3853174,-0.8838574,0.1537251,0.05820872,-1.1429703,1
2.8760686,2.3604984,3.042768,1.053802,-1.3776693,-0.937825,0.5150353,0.51378596,0.51504767,3.8527315,0.5708905,1.1355656,0.9540018,0.65139127,-0.31526923,0.75896925,-0.77282524,-0.23681861,-0.48536354,0.08187414,1
4.83294,-0.067551255,2.645977,-1.6127158,-0.47193187,1.0889506,0.06428002,-1.0777447,-0.7153037,0.67959774,-0.73036665,0.21645859,0.04557184,-0.65160036,2.143944,0.633919,-2.0251427,0.18645431,-0.66178644,0.8524333,1
1.7257605,1.6849775,2.4647043,0.8657552,-1.2002964,-0.33450124,-0.4749453,-0.65332925,1.7654543,0.4049817,-1.2608839,0.91786194,2.1221561,1.0324652,-1.51937,-0.48423406,1.2669111,-0.70766944,0.44381943,0.77463406,1
-0.9357978,0.43154073,-3.0005314,-1.0243876,-0.25256816,-1.2477832,1.6324114,-1.4301413,-0.4400445,0.13074058,1.4412733,-1.4358622,1.1631638,0.010233061,-0.9815087,0.4621035,0.1990597,-0.60021687,0.06980208,-0.3853136,0
